id,name,size,population,density,rural,urban
1,Casablanca,189.14,4500000,23792,4500000,0
2,Nouaceur,514.6,236.119,459,-,-
3,Mohammédia,180,322286,1790,
4,Settat,7000,977240,139.6,-,-
5,Berrechid,2530,484518,192,210245,272067
6,Médiouna,234,122851,525,-,-
7,Benslimane,2760,233123,84,118931,114192
8,Eljadida,3791,1128098,298,-,-
9,Sidibennour,3007,452448,147,358992,93456
10,Rabat,118.5,577827,4876,0,577827
11,Salé,672,1100000,1637,93985,769500
12,Kénitra,3253,1061435,326,454442,606993
13,SkhirateTémara,485,393262,811,-,-
14,Khémisset,8305,521815,63,-,-
15,SidiKacem,4060,692239,171,-,-
16,SidiSlimane,1492,292877,196,-,-
17,TangerAsilah,863.3,762583,883.33,58969,703614
18,Chefchaouen,3443,445819,129,-,-
19,Larache,2684,472386,176,-,-
20,Ouezzane,1861.2,307083,165,-,-
21,AlHoceima,3550,395644,111,277181,118463
22,Tétouan,2541,550374,216.59,-,-
23,M'diq-Fnideq,178,95681,538,6126,89556
24,Fah's-Anjara,799,97295,122,97295,0
25,Agadir-Ida-Ou-Tanane,2297,600599,261,92444,508155
26,Tata,25925,117841,4.5,82558,39060
27,Taroudant,16500,838820,51,590190,248649
28,ChtoukaAitBaha,3523,371102,105,257571,113531
29,Tiznit,5062,207367,40.96,81044,126323
30,InezganeAitMelloul,293,541118,1847,27412,513706
31,SidiIfni,3790.7,127781,34,103536,24245
32,Guelmim,10783,166685,15,51971,114714
33,Tan-Tan,17295,70146,4.1,-,-
34,AssaZag,27000,43535,1.6,20977,22558
35,Es-Semara,61760,60426,0.98,-,-
36,Boujdour,43753,46129,1.1,9286,36843
37,Laâyoune,33000,210023,6.4,-,-
38,Tarfaya,11945,13082,1.09,5055,8027
39,OuedEddahab,69528,126765,0.54,20488,106277
40,Aousserd,61370,142955,0.42,16190,126765
41,Errachidia,60000,556612,8.7,-,-
42,Midelt,13121,256593,20,191657,64936
43,Tinghir,13007,284277,22,217117,67160
44,Zagora,23000,283368,12,240566,42802
45,Ouarzazate,19464,700000,36,-,-
46,Essaouira,6335,452979,72,-,-
47,Chichaoua,6872,369889,2.17,321229,48660
48,AlHaouz,6612,484312,73,432119,52193
49,Marrakech,230,928850,4038.47,928850,0
50,Youssoufia,2919,251943,1.52,151060,100883
51,Safi,6351,691983,1.45,346093,345890
52,Rehamna,5877,315077,2.29,211926,103151
53,KelâatSraghna,4193,537488,1.24,383493,153995
54,Azilal,9800,504501,51,422802,81699
55,BeniMellal,6638,946018,142.51,498688,447330
56,FquihBensalah,3250,457513,141,302552,154961
57,Khouribga,4250,499144,117,172470,326674
58,Khénifra,12320,523000,42,250000,273000
59,Boulemane,14395,185110,13,131300,53810
60,Ifrane,3310,143380,43.2,84625,58755
61,ElHajeb,2193.41,247016,113,-,-
62,Sefrou,4008.76,259577,64.75,146050,113527
63,Meknès,1786,835695,468,148120,687575
64,Fès,312,977946,22758,955188
65,MoulayYacoub,1700,150422,88.48,147269,3153
66,Taounate,5585,668232,119,600290,67942
67,Taza,7098.5,558550,78.7,365599,192951
68,Driouech,2867,222987,78,157529,65458
69,Nador,3263,505647,155,-,-
70,Berkane,1985,306901,155,123973,182928
71,Oujda-Angad,1714,477100,278,66292,410808
72,Jerada,8460,105840,13,41030,64810
73,Figuig,55990,129430,2.3,66271,63159
74,Guercif,7307,185598,25,128282,57307
75,Taourirt,8541,206762,24,87431,119331